0.005,257.3
0.01,60.8
0.015,62.1
0.02,60.5
0.025,58.0
0.03,57.7
0.035,58.6
0.04,57.7
0.045,57.6
0.05,57.0
0.055,56.9
0.06,58.3
0.065,63.1
0.07,57.0
0.075,56.7
0.08,57.5
0.085,66.5
0.09,63.2
0.095,63.8
0.1,88.4
0.105,86.1
0.11,76.2
0.115,63.4
0.12,61.2
0.125,61.4
0.13,77.5
0.135,62.1
0.14,60.5
0.145,70.0
0.15,59.2
0.155,59.6
0.16,59.8
0.165,61.1
0.17,62.1
0.175,60.4
0.18,60.6
0.185,60.0
0.19,60.7
0.195,60.6
0.2,60.4
0.205,61.2
0.21,60.4
0.215,65.6
0.22,61.9
0.225,61.1
0.23,61.9
0.235,63.3
0.24,61.2
0.245,61.9
0.25,61.5
